,0,1
0,0.80335045,0.19664958
1,0.7769143,0.22308573
2,0.5496943,0.45030564
3,0.81074303,0.189257
4,0.8307641,0.16923589
5,0.6354743,0.3645257
6,0.1888013,0.8111987
7,0.5466151,0.45338485
8,0.79910254,0.20089747
9,0.57728213,0.42271787
10,0.22327971,0.7767203
11,0.5208975,0.4791025
12,0.25982463,0.74017537
13,0.87679225,0.12320774
14,0.45061827,0.5493817
15,0.1904781,0.80952185
16,0.2389501,0.7610499
17,0.50122565,0.4987743
18,0.7392178,0.26078224
19,0.720435,0.27956498
20,0.67367196,0.326328
21,0.6469196,0.35308042
22,0.64293444,0.35706556
23,0.46494472,0.53505534
24,0.77110857,0.2288914
25,0.320998,0.679002
26,0.5301829,0.46981713
27,0.7510182,0.24898179
28,0.8537377,0.14626227
29,0.4831055,0.5168945
30,0.79139096,0.208609
31,0.4439561,0.55604386
32,0.77668315,0.22331685
33,0.7269075,0.27309245
34,0.17390794,0.82609206
35,0.16955312,0.8304469
36,0.6162741,0.38372588
37,0.4357869,0.56421316
38,0.3874527,0.61254734
39,0.2752346,0.7247654
40,0.2943708,0.7056292
41,0.79354763,0.2064524
42,0.21758054,0.7824194
43,0.71457726,0.2854228
44,0.77375984,0.22624017
45,0.77598566,0.22401442
46,0.7769181,0.2230819
47,0.7607229,0.23927712
48,0.7554797,0.24452029
49,0.7758282,0.22417188
50,0.2618444,0.73815554
51,0.7367071,0.26329297
52,0.32179448,0.6782055
53,0.18465751,0.8153425
54,0.77448255,0.22551747
55,0.84017026,0.15982966
56,0.6632844,0.33671558
57,0.6430298,0.35697016
58,0.5050941,0.49490586
59,0.42436013,0.57563984
60,0.59932506,0.40067494
61,0.7759071,0.22409293
62,0.8464247,0.1535753
63,0.42175204,0.5782479
64,0.8789191,0.12108082
65,0.8045834,0.19541663
66,0.79843014,0.20156989
67,0.7734942,0.22650585
68,0.54814374,0.45185623
69,0.7305833,0.26941672
70,0.5719633,0.4280367
71,0.7766937,0.22330631
72,0.19977535,0.80022466
73,0.4336781,0.5663219
74,0.7269075,0.27309245
75,0.82636935,0.17363071
76,0.16955312,0.8304469
77,0.7758979,0.22410204
78,0.77762085,0.22237922
79,0.59932506,0.40067494
80,0.54427,0.45573005
81,0.38587624,0.61412376
82,0.7769212,0.22307882
83,0.45666903,0.54333097
84,0.52659047,0.4734095
85,0.6060859,0.39391416
86,0.672816,0.32718396
87,0.507162,0.49283803
88,0.88080955,0.119190454
89,0.7758965,0.22410347
90,0.7748723,0.22512771
91,0.5904321,0.40956783
92,0.870456,0.12954396
93,0.6605773,0.33942267
94,0.34881645,0.65118355
95,0.7867864,0.21321361
96,0.775253,0.22474703
97,0.7766544,0.2233456
98,0.7762248,0.22377521
99,0.7734692,0.22653075
100,0.76929474,0.23070529
101,0.66001,0.33999005
102,0.847932,0.15206799
103,0.8501979,0.1498021
104,0.7530488,0.2469512
105,0.8028712,0.19712876
106,0.59638745,0.40361252
107,0.7903767,0.20962332
108,0.78650624,0.21349378
109,0.5266509,0.4733491
110,0.7739885,0.22601148
111,0.78171194,0.21828805
112,0.6060859,0.39391416
113,0.8386008,0.16139919
114,0.7722745,0.22772546
115,0.8218168,0.17818318
116,0.75801975,0.24198024
117,0.7761406,0.22385943
118,0.40833426,0.5916657
119,0.7747955,0.22520457
120,0.77698547,0.22301453
121,0.8304864,0.16951357
122,0.7914798,0.20852019
123,0.5044005,0.49559954
124,0.78114116,0.21885887
125,0.21567954,0.7843205
126,0.66468287,0.33531713
127,0.7688649,0.23113503
128,0.29686183,0.7031382
129,0.2678606,0.73213947
130,0.7636175,0.2363825
131,0.784089,0.21591093
132,0.66001,0.33999005
133,0.7671887,0.23281127
134,0.5337797,0.4662203
135,0.51519644,0.4848036
136,0.7761946,0.22380543
137,0.77713513,0.2228649
138,0.7072581,0.29274186
139,0.7422804,0.2577196
140,0.760162,0.239838
141,0.7764334,0.22356667
142,0.738935,0.261065
143,0.589921,0.410079
144,0.812237,0.18776293
145,0.6201478,0.37985224
146,0.15147698,0.848523
147,0.21809842,0.7819016
148,0.26006356,0.7399365
149,0.26006356,0.7399365
150,0.5065348,0.49346516
151,0.72671187,0.2732881
152,0.7731104,0.22688964
153,0.7657003,0.23429973
154,0.5446965,0.4553035
155,0.6391758,0.36082426
156,0.8218168,0.17818318
157,0.78440255,0.21559747
158,0.2536274,0.7463726
159,0.5299096,0.4700904
160,0.60212094,0.3978791
161,0.34079286,0.6592071
162,0.7735695,0.22643046
163,0.82733446,0.17266554
164,0.7750599,0.22494012
165,0.2678606,0.73213947
166,0.7258996,0.2741004
167,0.8416404,0.15835954
168,0.70035964,0.2996404
169,0.14887299,0.85112697
170,0.87712926,0.12287071
171,0.6055779,0.39442214
172,0.4599323,0.5400677
173,0.54351616,0.45648387
174,0.6800966,0.31990334
175,0.19377522,0.8062248
176,0.6014181,0.3985819
177,0.7775237,0.2224763
178,0.6822902,0.31770974
179,0.8199263,0.18007368
180,0.4468997,0.5531003
181,0.1483083,0.8516917
182,0.21066597,0.78933406
183,0.71045625,0.28954372
184,0.2838453,0.7161547
185,0.5059446,0.49405542
186,0.54244804,0.45755196
187,0.6417862,0.35821378
188,0.4010488,0.59895116
189,0.7349086,0.26509142
190,0.89288867,0.107111335
191,0.51356226,0.48643777
192,0.24814722,0.7518528
193,0.22640422,0.77359575
194,0.675531,0.32446897
195,0.74436474,0.25563526
196,0.76733,0.23267001
197,0.5199217,0.48007834
198,0.2098762,0.7901238
199,0.51621884,0.48378113
200,0.7752087,0.22479123
201,0.6185971,0.3814029
202,0.5995477,0.40045232
203,0.47202054,0.5279795
204,0.69818115,0.30181885
205,0.70556027,0.29443973
206,0.65934205,0.34065792
207,0.2265096,0.7734904
208,0.25926343,0.74073654
209,0.774507,0.22549301
210,0.77683145,0.22316861
211,0.6224725,0.37752748
212,0.75135535,0.24864466
213,0.7617192,0.23828079
214,0.5535523,0.44644767
215,0.1687392,0.83126074
216,0.57041633,0.4295836
217,0.775626,0.224374
218,0.8017788,0.19822122
219,0.2884199,0.71158004
220,0.774507,0.22549301
221,0.52410936,0.47589064
222,0.21952227,0.78047776
223,0.85019,0.14981003
224,0.6229655,0.3770345
225,0.78677535,0.21322466
226,0.21066597,0.78933406
227,0.8371443,0.16285564
228,0.5123282,0.48767176
229,0.23454662,0.76545334
230,0.6716817,0.3283183
